Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;Nome Empregador;Logradouro Local Fiscalizado;;;Município Local Fiscalizado;UF Local Fiscalizado
2011;2011/05;07.526.034/0002-44;CAMILOTTI INCORPORAçãO E CONSTRUçãO LTDA;OBRA EXPEDICIONáRIO HOLZ, 388;89200-000;Sem Informação;Joinville;Santa Catarina
2011;2011/04;07.526.034/0002-44;CAMILOTTI INCORPORAçãO E CONSTRUçãO LTDA;OBRA RUA EXPEDICIONáRIO HOLZ, 388;89200-000;Sem Informação;Joinville;Santa Catarina
2011;2011/04;07.526.034/0002-44;CAMILOTTI INCORPORAçãO E CONSTRUçãO LTDA;OBRA RUA SENADOR SCHMIDT, 105;89200-000;Sem Informação;Joinville;Santa Catarina
2011;2011/04;07.526.034/0002-44;CAMILOTTI INCORPORAçãO E CONSTRUçãO LTDA;OBRA RUA TRAVESSA SãO JOSé, S/N;89200-000;Sem Informação;Joinville;Santa Catarina
2011;2011/04;07.526.034/0002-44;CAMILOTTI INCORPORAçãO E CONSTRUçãO LTDA;RUA EXPEDICIONáRIO HOLZ, 351, SALA 1;89201-740;AMéRICA;Joinville;Santa Catarina
2009;2009/06;07.526.034/0002-44;CAMILOTTI INCORPORAÇÃO E CONSTRUÇÃO LTDA;RUA PASTOR FRITZ BUHLER, 73;89201-740;ATIRADORES;Joinville;Santa Catarina
2012;2012/03;07.526.034/0002-44;CAMILOTTI INCORPORAçãO E CONSTRUçãO LTDA.;RUA SENADOR FELIPE SCHMIDT, 105;89201-440;CENTRO;Joinville;Santa Catarina
2008;2008/08;03.850.964/0001-17;CAMINARE IND. E COM. DE CALÇADOS LTDA;RUA DR. ALMIR ZUNINO 671;88240-000;JARDIM SãO PAULO;São João Batista;Santa Catarina
2008;2008/12;05.614.753/0001-00;CAMINHO DA COSTA LANCHES LTDA ME;SENADOR IVO D AQUINO,53;88032-600;LAGOA CONCEICAO;Florianópolis;Santa Catarina
2008;2008/06;05.614.753/0001-00;CAMINHO DA COSTA LANCHES LTDA ME;SENADOR IVO D AQUINO,53;88032-600;LAGOA CONCEICAO;Florianópolis;Santa Catarina
2008;2008/11;85.268.118/0002-39;CAMINHO DO MAR COMERCIO E CONFECCOES LTD;BR 101, KM 28 - SALA 28/29 - SHOPPING BAVARIA;89239-970;PIRABEIRABA;Joinville;Santa Catarina
2012;2012/05;03.036.919/0001-23;CAMISARIA MILENIUM LTDA ME;HERMANN PISKE,635 - SALA 01;89058-010;FORTALEZA;Blumenau;Santa Catarina
2010;2010/11;07.635.986/0001-15;CAMISARIA RIVERIA LTDA;ROD ANTONIO HEIL KM 23 STOP SHOP BOX 64;88352-501;NOVA BRASILIA;Brusque;Santa Catarina
2012;2012/01;03.850.964/0001-17;CAMMINARE INDUSTRIA E COMERCIO DE CALCADOS LTDA;RUA DR ALMIR ZUNINO,671;88240-000;JD SAO PAULO;São João Batista;Santa Catarina
2008;2008/11;78.886.181/0001-92;CAMNPING LAGOA DA CONCEIçãO LTDA ME;AVENIDA DAS RENDEIRAS 1480;88062-000;LAGOA DA CONCEIçãO;Florianópolis;Santa Catarina
2012;2012/03;33.621.384/0964-77;CAMPANHA NACIONAL DE ESC DA COMUNIDADE;RUA BAYER FILHO,1049;88200-000;CENTRO;Tijucas;Santa Catarina
2008;2008/09;33.621.384/0948-57;CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE;RUA OLAVO BILAC 400;89500-000;CENTRO;Caçador;Santa Catarina
2009;2009/01;84.686.443/0003-30;CAMPEA S A INDUSTRIA TEXTIL;RUA SAO PAUL0,305;89202-200;BUCAREIN;Joinville;Santa Catarina
2008;2008/11;84.686.443/0005-00;CAMPEA S A INDUSTRIA TEXTIL;RUA SAO PAULO,280;89202-200;BUCAREIN;Joinville;Santa Catarina
2009;2009/01;84.686.443/0001-78;CAMPEA S A INDUSTRIA TEXTIL;RUA SAO PAULO,305;89202-200;BUCAREIN;Joinville;Santa Catarina
2009;2009/01;84.686.443/0005-00;CAMPEA S A INDUSTRIA TEXTIL;RUA SAO PAULO,305;89202-200;BUCAREIN;Joinville;Santa Catarina
2010;2010/04;84.686.443/0001-78;CAMPEA S A INDUSTRIA TEXTIL;RUA SAO PAULO,305;89202-200;BUCAREIN;Joinville;Santa Catarina
2012;2012/01;81.614.281/0001-74;CAMPECHE CAMPING E PROMOÇÕES LTDA;AV. CAMPECHE, 300;88063-300;CAMPECHE;Florianópolis;Santa Catarina
2008;2008/10;95.857.652/0001-53;CAMPECHE COMERCIO DE MATERIAIS DE CONSTR;AVENIDA PEQUENO PRINCIPE,168;88063-000;CAMPECHE;Florianópolis;Santa Catarina
2009;2009/01;95.857.652/0001-53;CAMPECHE COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;AVENIDA PEQUENO PRINCIPE,1680;88063-000;CAMPECHE;Florianópolis;Santa Catarina
2011;2011/04;80.503.832/0001-60;CAMPEIRO ASSADOS LTDA ME;RUA PROFESSORA ROSINHA CAMPOS,90;88085-160;ABRAAO;Florianópolis;Santa Catarina
2009;2009/06;80.503.832/0001-60;CAMPEIRO ASSADOS LTDA-ME;RUA PROF. ROSINHA CAMPOS, 90;88085-160;ABRAÃO;Florianópolis;Santa Catarina
2008;2008/07;00.474.793/0001-80;CAMPGRAF GRAFICA & EDITORA EPP;AV ALTAMIRO DI BERNARDI, 69;88101-150;CAMPINAS;São José;Santa Catarina
2008;2008/07;00.474.793/0001-80;CAMPGRAF GRAFICA E EDITORA EPP;AV ALTAMIRO BERNARDI,69;88101-150;CAMPINAS;São José;Santa Catarina
2009;2009/06;Sem Informação;CAMPING BUFFET RESTAURANTE LTDA;AV BRASIL, 1590;SI;CENTRO;Balneário Camboriú;Santa Catarina
2008;2008/11;08.488.489/0001-02;CAMPING ESTACIONAMENTO E BAR BOEHS LTDA;AV DAS RENDEIRAS, 1922;88062-000;LAGOA DA CONCEICAO;Florianópolis;Santa Catarina
2011;2011/03;08.488.489/0001-02;CAMPING ESTACIONAMENTO E BAR BOEHS LTDA ME;AV DAS RENDEIRAS 1922;88062-400;LAGOA DA CONCEIçãO;Florianópolis;Santa Catarina
2011;2011/03;77.910.222/0001-76;CAMPING PARQUE VERDE LTDA;ROD SC 444 KM 05;88820-000;LAGOA DO FAXINAL;Içara;Santa Catarina
2008;2008/07;00.219.688/0001-03;CAMPO GRANDE ENGENHARIA E GEOTECNIA LTD;OBRA FOZ DO CHAPECó;89883-000;Sem Informação;Águas de Chapecó;Santa Catarina
2009;2009/05;03.440.000/0001-09;CAMPO LIVRE IND COM MAT ESP LTDA;AV. ASSEMBLEIA DE DEUS, S/N;88800-000;CIDADE MINEIRA;Criciúma;Santa Catarina
2009;2009/12;00.973.845/0001-63;CAMPOS & GODINHO LTDA ME;RUA CARLOS DE A. RIBEIRO,126;88819-070;METROPOLITANA;Criciúma;Santa Catarina
2009;2009/12;03.280.561/0001-80;CAMPOS & PAULI LTDA;RUA GENERAL BITTENCOURT 425;88010-000;CENTRO;Florianópolis;Santa Catarina
2008;2008/09;09.457.486/0001-66;CAMPOS ARTEFATOS DE CIMENTO;RUA FRITZ_SPERNAU 800;89055-200;ITOUPAVA NORTE;Blumenau;Santa Catarina
2009;2009/12;09.457.486/0001-66;CAMPOS ARTEFATOS DE CIMENTO LTDA;R. FRITZ SPERNAU, 800, SALA 03;89055-200;ITOUPAVA NORTE;Blumenau;Santa Catarina
2011;2011/03;09.457.486/0001-66;CAMPOS ARTEFATOS DE CIMENTO LTDA ME;RUA FRITZ SPERNAU 800;89055-200;ITOUPAVA NORTE;Blumenau;Santa Catarina
2011;2011/08;09.457.486/0001-66;CAMPOS ARTEFATOS DE CIMENTO LTDA ME;RUA FRITZ SPERNAU 800;89055-200;ITOUPAVA NORTE;Blumenau;Santa Catarina
2009;2009/07;80.960.198/0001-94;CAMPOS DE ALMEIDA CONS OBRAS DE ENG LT;PARQUE JARDIM ITALIA, SN;88037-500;CORREGO GRANDE;Florianópolis;Santa Catarina
2009;2009/08;80.960.198/0001-94;CAMPOS DE ALMEIDA CONS OBRAS DE ENG LT;RUA MAESTRO ALDO KRUEGER, SN;88037-500;CORREGO GRANDE;Florianópolis;Santa Catarina
2010;2010/08;80.960.198/0001-94;CAMPOS DE ALMEIDA ENGENHARIA LTDA.;R BERTA LUTZ E R DEP OTACILIO COSTA;88000-000;CANASVIEIRAS;Florianópolis;Santa Catarina
2009;2009/05;00.778.705/0001-34;CAMPOS E GARCIA LTDA.;AV. LUIS BOITEUX PIAZZA,2616;88056-000;CACH. BOM JESUS;Florianópolis;Santa Catarina
2010;2010/06;00.778.705/0001-34;CAMPOS E GARCIA LTDA.;AV. LUIS BOITEUX PIAZZA,2616;88056-000;CACH. BOM JESUS;Florianópolis;Santa Catarina
2009;2009/04;09.177.911/0001-63;CAMPOS E MACHADO COM DE MADEIRAS EM GERAL;R ARGENTINA,731;88113-585;REAL PARK;São José;Santa Catarina
2008;2008/12;09.177.911/0001-63;CAMPOS E MACHADO COM DE MADEIRAS EM GERAL;R ARGENTINA,731;88113-585;REAL PARK;São José;Santa Catarina
2011;2011/08;12.600.928/0001-96;CAMPOS E SILVA CONFECçOES E CALçADOS LTDA;RUA SAO PEDRO, 1612 E L 01;89803-062;S CRISTOVAO;Chapecó;Santa Catarina
2008;2008/07;02.045.213/0001-65;CAMPOS EMPREENDIMENTOS TURISTICOS LTDA;ROD SC 401 KM 11,10400;88045-108;SANTO ANTONIO DE LI;Florianópolis;Santa Catarina
2008;2008/12;09.407.051/0001-07;CAMPOS IND. E COM DE CALÇADOS LTDA  ME;RUA JOSE MARCELINO FRANCO 143;88240-000;JARDIM SAO PAULO;São João Batista;Santa Catarina
2012;2012/03;73.385.510/0007-93;CAMPOS LOBO E CIA LTDA EPP;AVENIDA BRASIL 1259;88330-048;CENTRO;Balneário Camboriú;Santa Catarina
2009;2009/10;78.843.497/0001-05;CANA VERDE CONST. E INSTALADORA LTDA;ANICETO ZACCHI,645;88130-301;PONTE DO IMARUI;Palhoça;Santa Catarina
2012;2012/03;08.149.310/0001-84;CANAA IND E COMDE PESCADOS LTDA;AV DOUTOR REINALDO SCHMITHAUSEN,888;88310-000;CORDEIROS;Itajaí;Santa Catarina
2010;2010/12;08.417.576/0001-60;CANABARRO PREST. SERV. DE M.O. LTDA;RUA P. SCHEFFER, L 18, Q 853;89800-000;CENTRO;Chapecó;Santa Catarina
2008;2008/07;08.417.576/0001-60;CANABARRO PRESTACAO DE SERVICOS DE MAO DE OBRA LTDA;RUA ERNESTI DIAVAN, 670 E;89800-000;CENTRO;Chapecó;Santa Catarina
2009;2009/03;08.417.576/0001-60;CANABARRO PRESTACAO DE SERVICOS DE MAO DE OBRA LTDA;RUA ISRAEL 293;89800-000;MARIA GORETTI;Chapecó;Santa Catarina
2011;2011/07;08.417.576/0001-60;CANABARRO PRESTACAO DE SERVICOS DE MAO-DE-OBRA LTDA;RUA PONOE SCHEFFER, QUADRA 858 LOTE 18;89802-100;CENTRO;Chapecó;Santa Catarina
2010;2010/06;85.259.703/0001-91;CANABEL DERIVADOS DE PETROLEO LTDA;AV MARCOLINO MARTINS CABRAL SNº;88701-001;CENTRO;Tubarão;Santa Catarina
2009;2009/12;83.689.364/0006-62;CANADA TRANSPORTES E COMERCIO LTDA;RD BR 153, S/N - KM 100;89700-000;INTERIOR;Concórdia;Santa Catarina
2010;2010/12;83.689.364/0006-62;CANADA TRANSPORTES E COMERCIO LTDA;RD BR 153, S/N - KM 100;89700-000;INTERIOR;Concórdia;Santa Catarina
2008;2008/09;83.689.364/0006-62;CANADA TRANSPORTES E COMERCIO LTDA;ROD BR 153, SN - KM 100;89700-000;INTERIOR;Concórdia;Santa Catarina
2010;2010/10;83.689.364/0001-58;CANADA TRANSPORTES E COMERCIO LTDA;RUA VITORIO CELLA, 108-D;89805-015;CENTRO;Chapecó;Santa Catarina
2009;2009/05;01.863.176/0001-30;CANADAS ASSES SERV TEC LTDA;JOAQUIM CARNEIRO,243;88085-120;CAPOEIRAS;Florianópolis;Santa Catarina
2009;2009/03;01.863.176/0001-30;CANADAS ASSES SERV TEC LTDA;JOAQUIM CARNEIRO,243;88085-120;CAPOEIRAS;Florianópolis;Santa Catarina
2010;2010/10;09.076.601/0001-52;CANAN E CANAN LTDA;RUA VICTOR KONDER, 550;89820-000;CENTRO;Xanxerê;Santa Catarina
2011;2011/01;00.969.738/0001-61;CANASVIEIRAS COM. DE ALIMENTOS LTDA.;AV. DAS NAÇÕES, 626;88054-000;CANASVIEIRAS;Florianópolis;Santa Catarina
2010;2010/11;00.969.738/0001-61;CANASVIEIRAS COMERCIO DE ALIMENTOS LTDA ME;AV AV DAS NACOES,626;88054-010;CANASVIEIRAS;Florianópolis;Santa Catarina
2009;2009/10;82.950.460/0001-45;CANASVIEIRAS TRANSPORTES LTDA;RODOVIA FRANCISCO GERMANO DA COSTA,2970;88052-760;CANASVIEIRAS;Florianópolis;Santa Catarina
2011;2011/08;82.950.460/0001-45;CANASVIEIRAS TRANSPORTES LTDA;RODOVIA FRANCISCO GERMANO DA COSTA,2970;88052-760;VAGEM PEQUENA;Florianópolis;Santa Catarina
2009;2009/04;82.950.460/0001-45;CANASVIEIRAS TRANSPORTES LTDA;RODOVIA FRANCISCO GERMANO DA COSTA,2970;88052-760;CANASVIEIRAS;Florianópolis;Santa Catarina
2008;2008/10;82.950.460/0001-45;CANASVIEIRAS TRANSPORTES LTDA;RODOVIA FRANCISCO GERMANO DA COSTA,2970;88052-760;CANASVIEIRAS;Florianópolis;Santa Catarina
2010;2010/02;82.950.460/0001-45;CANASVIEIRAS TRANSPORTES LTDA;RODOVIA FRANCISCO GERMANO DA COSTA,2970;88052-760;CANASVIEIRAS;Florianópolis;Santa Catarina
2010;2010/02;82.950.460/0001-45;CANASVIEIRAS TRANSPORTES LTDA;RODOVIA FRANCISCO GERMANO DA COSTA,2970;88052-760;CANASVIEIRAS;Florianópolis;Santa Catarina
2010;2010/08;06.085.212/0001-03;CANDATTI SUPERMERCADOS LTDA;RUA RANCHO QUEIMADO,241 NA FRENTA DA APTI;89804-440;ALVORADA;Chapecó;Santa Catarina
2010;2010/05;43.446.434/0088-83;CANDEIAS ESPORTE LAZER E RECREACAO;AV LUIZ BOITEUX PIAZZA,5282;88056-000;PONTA DAS CANOAS;Florianópolis;Santa Catarina
2011;2011/03;20.092.00407/89;CANDIDO MARIA BAMPI;LOCALIDADE BANDEIRINHAS;88535-000;INTERIOR;Correia Pinto;Santa Catarina
2008;2008/07;83.665.067/0003-34;CANGURU EMBALAGENS S.A.;RUA SAO DOMINGOS, 120-D;89805-273;LIDER;Chapecó;Santa Catarina
2011;2011/02;79.419.867/0001-36;CANGURU INDUSTRIAL MADEIRAS LTDA ME;RUA HELIODORO MUNIZ, 243;88514-600;SANTA CANDIDA;Lages;Santa Catarina
2010;2010/04;79.419.867/0001-36;CANGURU INDUSTRIAL MADEIREIRA LTDA ME;RUA HELIODORO MUNIZ,243;88514-600;SANTA CANDIDA;Lages;Santa Catarina
2012;2012/03;82.916.172/0003-36;CANGURU S A IND E COMERCIO DE PROD PLASTICOS;RUA SILVIO BURIGO LADO,393;88813-460;NSA DA SALETE;Criciúma;Santa Catarina
2008;2008/07;82.916.172/0003-36;CANGURU S A INDUSTRIA E COMERCIO DE PRODUTOS PLASTIC;RUA SILVIO BURIGO LADO 393;88813-460;NSA DA SALETE;Criciúma;Santa Catarina
2009;2009/04;82.916.172/0002-55;CANGURU S/A INDUSTRIA E COMERCIO DE PRODUTOS PLASTICOS;RUA SILVIO LBURIGO, 393;88813-750;PROSPERA;Criciúma;Santa Catarina
2009;2009/06;82.916.172/0002-55;CANGURU S/A INDUSTRIA E COMERCIO DE PRODUTOS PLASTICOS;RUA SILVIO LBURIGO, 393;88813-750;PROSPERA;Criciúma;Santa Catarina
2009;2009/07;82.916.172/0001-74;CANGURU S/A. INDUSTRIA E COM.DE  PRODUTOS PLáSTICOS.;AV MANOEL DE FREITAS, 30;88813-400;PROSPERA;Criciúma;Santa Catarina
2011;2011/12;82.916.172/0001-74;CANGURU SA INDUSTRIA E COMERCIO DE PRODUTOS PLASTICO;AV MANOEL DELFINO FREITAS,30;88813-400;PROSPERA;Criciúma;Santa Catarina
2008;2008/07;82.916.172/0001-74;CANGURU SA INDUSTRIA E COMERCIO DE PRODUTOS PLASTICO;AV MANOEL DELFINO FREITAS,30;88813-400;PROSPERA;Criciúma;Santa Catarina
2012;2012/03;82.916.172/0001-74;CANGURU SA INDUSTRIA E COMERCIO DE PRODUTOS PLASTICO;AV MANOEL DELFINO FREITAS,30;88813-400;PROSPERA;Criciúma;Santa Catarina
2011;2011/04;82.916.172/0004-17;CANGURU SA INDUSTRIA E COMERCIO DE PRODUTOS PLASTICO;RUA SAO DOMINGOS 120 D;89805-273;LIDER;Chapecó;Santa Catarina
2012;2012/04;82.916.172/0002-55;CANGURU SA INDUSTRIA E COMERCIO DE PRODUTOS PLASTICO;RUA SILVIO BURIGO,393;88813-460;NOSSA SENHORA SALET;Criciúma;Santa Catarina
2012;2012/03;82.916.172/0002-55;CANGURU SA INDUSTRIA E COMERCIO DE PRODUTOS PLASTICO;RUA SILVIO BURIGO,393;88813-460;NOSSA SENHORA SALET;Criciúma;Santa Catarina
2009;2009/10;05.581.777/0001-00;CANI & HENN PRODUTOS QUIMICOS LTDA;RUA MARCOS SILVA 999;88240-000;CARDOSO;São João Batista;Santa Catarina
2009;2009/05;85.364.248/0001-94;CANORTE COMERCIO HOTELEIRO LTDA ME;RUA MIGUEL MATTE - 174;88330-000;PIONEIROS;Balneário Camboriú;Santa Catarina
2011;2011/01;01.401.206/0022-10;CANROO COMERCIO DE ARTEFATOS DE COURO LTDA;AV MADRE BENVENUTA,687, LOJA 360;88035-000;SANTA MONICA;Florianópolis;Santa Catarina
2011;2011/11;Sem Informação;CANTEIRO DE OBRA;RUA JOAHANN SACHSE, Nº 1235;SI;SALTO DO NORTE;Blumenau;Santa Catarina
2011;2011/02;85.240.893/0001-03;CANTIDIO BAR E RESTAURANTE LTDA;AV DAS RENDEIRAS, 1620;88062-400;LAGOA DA CONCEICAO;Florianópolis;Santa Catarina
2009;2009/03;85.240.893/0001-03;CANTIDIO BAR E RESTAURANTE LTDA ME;AV DAS RENDEIRAS,1620;88062-400;LAGOA DA CONCEICAO;Florianópolis;Santa Catarina
2008;2008/10;85.240.893/0001-03;CANTIDIO BAR E RESTAURANTE LTDA ME;AV DAS RENDEIRAS,330;88062-400;LAGOA DA CONCEICAO;Florianópolis;Santa Catarina
2008;2008/06;05.399.534/0001-56;CANTINA ACORIANA LTDA ME;ROD BR 282,10;88050-001;STO ANTONIO LISBOA;Florianópolis;Santa Catarina
2008;2008/09;05.399.534/0001-56;CANTINA AçORIANA LTDA. ME;ROD. SC 401 - KM -10 - ANEXO CESUSC;88050-001;SANTO ANTONIO LISBOA;Florianópolis;Santa Catarina
2008;2008/08;78.533.171/0001-73;CANTINA CANSIAN LTDA;RUA RIO GRANDE DO NORTE,137;88509-150;SAO CRISTOVAO;Lages;Santa Catarina
2010;2010/04;78.533.171/0001-73;CANTINA CANSIAN LTDA;RUA RIO GRANDE DO NORTE,137;88509-150;SAO CRISTOVAO;Lages;Santa Catarina
2012;2012/01;78.533.171/0001-73;CANTINA CANSIAN LTDA;RUA RIO GRANDE DO NORTE,137;88509-150;SAO CRISTOVAO;Lages;Santa Catarina
2011;2011/11;85.218.998/0001-58;CANTINA DOM PEPE LTDA;RUA EMILIANO RAMOS,320;88502-220;CENTRO;Lages;Santa Catarina
2009;2009/02;Sem Informação;CANTINA E PIZZARIA FIRENZE;RUA ANTONIO PRUDENTE DE MORAES 373;88054-220;CANASVIEIRAS;Florianópolis;Santa Catarina
2009;2009/03;08.221.338/0001-85;CANTINA E PIZZARIA FIRENZE LTDA ME;RUA DOUTOR ANTONIO PRUDENTE DE MORAES, 373;88054-220;CANASVIEIRAS;Florianópolis;Santa Catarina
2009;2009/02;08.623.575/0001-72;CANTINA E PIZZARIA SANTA MARIA LTDA;RUA APOSTOLO PASCHOAL;88054-100;CANASVIEIRAS;Florianópolis;Santa Catarina
2010;2010/02;08.623.575/0001-72;CANTINA E PIZZARIA SANTA MARIA LTDA EPP;R. APOSTOLO PASCHOAL__267;88054-100;CANASVIEIRAS;Florianópolis;Santa Catarina
2010;2010/11;08.623.575/0001-72;CANTINA E PIZZARIA SANTA MARIA LTDA EPP;R. APOSTOLO PASCHOAL__267;88054-100;CANASVIEIRAS;Florianópolis;Santa Catarina
2010;2010/11;08.623.575/0001-72;CANTINA E PIZZARIA SANTA MARIA LTDA EPP;R. APOSTOLO PASCHOAL__267;88054-100;CANASVIEIRAS;Florianópolis;Santa Catarina
2009;2009/02;04.920.097/0001-01;CANTINA FAMILIA FRASSINI LTDA ME;AV MINISTRO VICTOR KONDER,300;88301-700;CENTRO;Itajaí;Santa Catarina
2010;2010/02;04.920.097/0001-01;CANTINA FAMILIA FRASSINI LTDA ME;RUA DR PEDRO FERREIRA, 125 - SALA 02;SI;CENTRO;Itajaí;Santa Catarina
2010;2010/12;10.565.074/0001-29;CANTINA GOURMET LTDA. - ME;RUA PIO XII,315;89801-010;CENTRO;Chapecó;Santa Catarina
2012;2012/04;85.274.116/0001-71;CANTINA IPANEMA LTDA;AV BRASIL,610;89050-000;PONTA AGUDA;Blumenau;Santa Catarina
2012;2012/03;05.836.539/0001-07;CANTINA LOPES LTDA;AV VER MANOEL JOSE DOS SANTOS,800;88215-000;CENTRO;Bombinhas;Santa Catarina
2010;2010/02;05.836.539/0001-07;CANTINA LOPES LTDA;AV VER MANOEL JOSE DOS SANTOS,800;88215-000;CENTRO;Bombinhas;Santa Catarina
2010;2010/03;10.356.647/0001-04;CANTINA PRAIA MAR LTDA. ME;ROD SC 401 - KM 10 - CESUSC;88050-000;STO ANTONIO LISBOA;Florianópolis;Santa Catarina
2011;2011/03;73.616.690/0001-81;CANTINA TIO PITTER LTDA ME;RUA AMAZONAS,482;89020-000;RIBEIRAO FRESCO;Blumenau;Santa Catarina
2010;2010/03;05.604.461/0001-97;CANTINA UNIVERSITARIA LTDA ME;RODOVIA SC 401 KM 10;88050-000;STO ANTONIO LISBOA;Florianópolis;Santa Catarina
2010;2010/03;05.604.461/0001-97;CANTINA UNIVERSITARIA LTDA ME;RODOVIA SC 401 KM 10;88050-000;STO ANTONIO LISBOA;Florianópolis;Santa Catarina
2008;2008/10;05.604.461/0001-97;CANTINA UNIVERSITARIA LTDA ME;RODOVIA SC 401,10;88050-000;STO ANTONIO LISBOA;Florianópolis;Santa Catarina
2010;2010/06;82.889.429/0001-46;CANTINA ZABOT LTDA ME;RUA LEOBERTO LEAL,157;88117-001;BARREIROS;São José;Santa Catarina
2012;2012/04;82.889.429/0001-46;CANTINA ZABOT LTDA ME;RUA LEOBERTO LEAL,157;88117-001;BARREIROS;São José;Santa Catarina
2008;2008/07;07.790.196/0001-04;CANTINHO DA MASSA RESTAURANTE E PIZZARIA;RUA CEL MARCOS ROVARIS,01;88801-100;CENTRO;Criciúma;Santa Catarina
2012;2012/04;82.866.963/0001-37;CANTINHO DO CHURRASCO;AV ELZA LUCCHI 665;88130-000;PONTE DO IMARUIM;Palhoça;Santa Catarina
2008;2008/12;Sem Informação;CANTINHO DO IDOSO;RUA JAIR TAVARES;SI;MINEIRA NOVA;Criciúma;Santa Catarina
2012;2012/02;07.327.576/0001-07;CANTINHO DO PASTEL COMERCIO DE PASTEIS LTDA;AV MADRE MARIA VILAC 1359;88054-001;CANASVIEIRAS;Florianópolis;Santa Catarina
2011;2011/03;07.327.576/0001-07;CANTINHO DO PASTEL COMéRCIO DE PASTéIS LTDA;AV MADRE MARIA VILAC 1359;88054-001;CANASVIEIRAS;Florianópolis;Santa Catarina
2011;2011/02;09.475.592/0001-72;CANTINHO GOURMET LTDA;AV GOVERNADOR IRINEU BORNHAUSEN,5288, LJ 05;88025-202;AGRONOMICA;Florianópolis;Santa Catarina
2010;2010/05;Sem Informação;CANTINMHO DA BATATA;RUA JORDâNIA, 70;SI;NAçõES;Balneário Camboriú;Santa Catarina
2011;2011/02;80.992.803/0002-90;CANTO DO MAR BAR E RESTAURANTE LTDA. EPP;RUA DEP. FERNANDO VIEGAS - 560;88056-730;PONTA DAS CANAS;Florianópolis;Santa Catarina
2008;2008/09;00.163.222/0001-25;CANTU FUTURA IMPORTACAO E EXPORTACAO LTD;RUA MAJOR JOSE L MAIA 390 D;89805-110;PASSO DOS FORTES;Chapecó;Santa Catarina
2009;2009/10;00.163.222/0001-25;CANTU FUTURA IMPORTACAO E EXPORTACAO LTD;RUA MAJOR JOSE L. MAIA,390;89805-110;PASSO DOS FORTES;Chapecó;Santa Catarina
2010;2010/11;00.163.222/0001-25;CANTU FUTURA IMPORTACAO E EXPORTACAO LTD;RUA MAJOR JOSE L. MAIA,390;89805-110;PASSO DOS FORTES;Chapecó;Santa Catarina
2008;2008/07;07.144.456/0001-74;CANTU SÃO JOAQUIM BENEF. FRUTAS, LTDA.;RUA HAMILTON JADER BLEYER,267;88600-000;JARDIM CAIÇARA;São Joaquim;Santa Catarina
2008;2008/12;07.144.456/0001-74;CANTU SAO JOAQUIM BENEFICIAMENTO DE FRUTAS LTDA.;RUA HAMILTON JADER BLEYER JUNIOR, 267;88600-000;JARDIM CAICARA;São Joaquim;Santa Catarina
2010;2010/05;85.247.922/0001-50;CANTUARIA ADMINISTRADORA DE IMOVEIS LTD;RUA ASSIS BRASIL N 1408;88104-200;PONTA DE BAIXO;São José;Santa Catarina
2010;2010/06;10.434.020/0001-24;CANTUARIA DANCING BAR LTDA ME;RUA ASSIS BRASIL 1408;88104-200;PONTA DE BAIXO;São José;Santa Catarina
2011;2011/08;03.753.216/0001-16;CAO.COM COM. PROD. VETERINARIOS LTDA EPP;AV. MADRE BENVENUTA,1642;88036-500;SANTA MONICA;Florianópolis;Santa Catarina
2010;2010/08;03.753.216/0002-05;CAO.COM COM. PRODUTOS VETERINARIOS LTDA__EPP;MAURO RAMOS,1725;88020-305;CENTRO;Florianópolis;Santa Catarina
2010;2010/10;01.925.953/0001-23;CAPA EMBALAGENS LTDA EPP;RUA HERVAL DO OESTE,132;89221-200;SAGUACU;Joinville;Santa Catarina
2008;2008/10;03.988.927/0001-70;CAPACHOS COMERCIO DE TAPETES LTDA ME;RUA SANTA CATARINA,1100;89211-301;FLORESTA;Joinville;Santa Catarina
2011;2011/09;09.140.196/0001-94;CAPACITARE COM E CURSO CAPACITACAO LTDA;RUA JOSE MARIA DA LUZ,2707;88131-000;CENTRO;Palhoça;Santa Catarina
2011;2011/04;05.577.409/0001-99;CAPE COD ALIMENTOS LTDA EPP;RUA SETE DE SETEMBRO,1213, LJ 46;89010-203;CENTRO;Blumenau;Santa Catarina
2010;2010/04;05.577.409/0001-99;CAPE COD ALIMENTOS LTDA EPP;RUA SETE DE SETEMBRO,1213, LJ 46;89010-203;CENTRO;Blumenau;Santa Catarina
2010;2010/10;10.724.271/0001-43;CAPELLI'S PANIFICADORA & CONFEITARIA LTDA - ME;R 1500, Nº 435 - SALA 01;88330-000;CENTRO;Balneário Camboriú;Santa Catarina
2009;2009/02;06.976.659/0001-64;CAPIM LIMAO COM. CAMA MESA BANHO LTDA ME;ESTRADA DOM JOAO BECKER, 145 SL 08, 09;88058-600;INGLESES;Florianópolis;Santa Catarina
2010;2010/05;81.617.730/0001-38;CAPITAL COBRANçAS S/C LTDA.;R SALDANHA MARINHO, 374 - SALA 407;88010-320;CENTRO;Florianópolis;Santa Catarina
2008;2008/12;04.048.747/0001-70;CAPITAL COMERCIAL LTDA;RUA CONSELHEIRO MAFRA 316;88010-100;CENTRO;Florianópolis;Santa Catarina
